price_inr,market_cap_usd,price_usd,last_updated,name,24h_volume_usd,percent_change_7d,symbol,max_supply,rank,percent_change_1h,total_supply,24h_volume_inr,price_btc,available_supply,percent_change_24h,id,market_cap_inr
1066053.80747,277236199085,16560.4,1513268354,Bitcoin,13645800000.0,3.19,BTC,21000000.0,1,1.36,16740912.0,878430294315.0001220703,1.0,16740912.0,-1.99,bitcoin,17846712978120
44161.8860182,66089195002.0,686.024,1513268359,Ethereum,4168130000.0,60.17,ETH,,2,2.56,96336564.0,268317845977.7500305176,0.0413954,96336564.0,-4.71,ethereum,4254404360091
116591.025213,30527984741.0,1811.16,1513268388,Bitcoin Cash,2451170000.0,34.12,BCH,21000000.0,3,0.86,16855488.0,157790820949.7500000000,0.109287,16855488.0,10.4,bitcoin-cash,1965198568090
44.896775892,27018229182.0,0.69744,1513268342,Ripple,4009750000.0,206.9,XRP,100000000000,4,-0.87,99993093880.0,258122343331.2500305176,0.00004208,38739144847.0,51.51,ripple,1739262704443
18391.5589475,15514169439.0,285.7,1513268342,Litecoin,2408680000.0,196.31,LTC,84000000.0,5,5.73,54302308.0,155055583499.0000000000,0.0172394,54302308.0,-9.75,litecoin,998704101384
