price_inr,market_cap_usd,price_usd,last_updated,name,24h_volume_usd,percent_change_7d,symbol,max_supply,rank,percent_change_1h,total_supply,24h_volume_inr,price_btc,available_supply,percent_change_24h,id,market_cap_inr
1092428.9104,283745831389,16951.6,1513181655,Bitcoin,13855400000.0,29.29,BTC,21000000.0,1,-1.06,16738587.0,892897397600.0000000000,1.0,16738587.0,-2.38,bitcoin,18285716358046
46199.388048,69047738638.0,716.892,1513181655,Ethereum,4984590000.0,62.15,ETH,,2,-2.1,96315398.0,321226917960.0000000000,0.0421035,96315398.0,15.63,ethereum,4449712468812
108053.2548,28258158656.0,1676.7,1513181679,Bitcoin Cash,1296060000.0,13.86,BCH,21000000.0,3,2.97,16853438.0,83523290640.0,0.0984735,16853438.0,7.78,bitcoin-cash,1821068776443
